1	12	2009	1626	32	0.604166667	14.5	0.880797078
1	13	2009	1706	33.2	0.645833333	15.5	0.952574127
1	14	2009	1674	29.2	0.625	15	0.98201379
1	15	2009	1598	26	0.625	15	0.993307149
1	16	2009	1766	15.6	0.6875	16.5	0.997527377
1	17	2009	1530	14.4	0.645833333	15.5	0.999088949
1	18	2009	1004	30.7	0.25	6	0.731058579
1	19	2009	1160	30.3	0.4375	10.5	0.880797078
1	20	2009	1204	25.5	0.4375	10.5	0.952574127
1	21	2009	1710	25.1	0.625	15	0.98201379
1	22	2009	1680	28.5	0.625	15	0.993307149
1	23	2009	1738	35.2	0.6875	16.5	0.997527377
1	24	2009	1482	41.3	0.625	15	0.999088949
1	26	2009	1646	28	0.625	15	0.880797078
1	27	2009	1446	29.4	0.5	12	0.952574127
1	28	2009	1344	30.8	0.5625	13.5	0.98201379
1	29	2009	1656	34	0.625	15	0.993307149
1	30	2009	1626	32.2	0.604166667	14.5	0.997527377
1	31	2009	1514	28.5	0.6875	16.5	0.999088949
2	2	2009	1590	45.3	0.625	15	0.880797078
2	3	2009	1680	36	0.625	15	0.952574127
2	4	2009	1584	30.1	0.625	15	0.98201379
2	5	2009	1592	21.7	0.625	15	0.993307149
2	6	2009	1730	26.8	0.708333333	17	0.997527377
2	7	2009	1448	37.9	0.645833333	15.5	0.999088949
2	9	2009	1556	43	0.625	15	0.880797078
2	10	2009	1596	45.9	0.625	15	0.952574127
2	11	2009	1530	57.5	0.625	15	0.98201379
2	12	2009	1584	58.2	0.645833333	15.5	0.993307149
2	13	2009	1604	47.1	0.708333333	17	0.997527377
2	14	2009	1436	39.5	0.625	15	0.999088949
2	16	2009	1126	35.8	0.4375	10.5	0.880797078
2	17	2009	1696	33.6	0.625	15	0.952574127
2	18	2009	1572	36.2	0.625	15	0.98201379
2	19	2009	1576	44.2	0.625	15	0.993307149
2	20	2009	1722	29.7	0.708333333	17	0.997527377
2	21	2009	1550	33.8	0.625	15	0.999088949
2	23	2009	1622	31.6	0.625	15	0.880797078
2	24	2009	1656	28.8	0.625	15	0.952574127
2	25	2009	1606	35.1	0.625	15	0.98201379
2	26	2009	1658	42.7	0.625	15	0.993307149
2	27	2009	1678	52.5	0.6875	16.5	0.997527377
2	28	2009	1588	45.2	0.645833333	15.5	0.999088949
3	2	2009	1312	24.3	0.5625	13.5	0.880797078
3	3	2009	1614	20.8	0.625	15	0.952574127
3	4	2009	1516	28.3	0.625	15	0.98201379
3	5	2009	1618	35.4	0.625	15	0.993307149
3	6	2009	1742	47.9	0.6875	16.5	0.997527377
3	7	2009	1618	56	0.645833333	15.5	0.999088949
3	9	2009	1750	61.7	0.625	15	0.880797078
3	10	2009	1658	45	0.625	15	0.952574127
3	11	2009	1610	52.1	0.625	15	0.98201379
3	12	2009	1518	46.1	0.625	15	0.993307149
3	13	2009	1622	39	0.6875	16.5	0.997527377
3	14	2009	1506	39.2	0.625	15	0.999088949
3	16	2009	1630	45.6	0.625	15	0.880797078
3	17	2009	1586	45.2	0.625	15	0.952574127
3	18	2009	1578	47.7	0.625	15	0.98201379
3	19	2009	1582	52.4	0.625	15	0.993307149
3	20	2009	1654	44.5	0.6875	16.5	0.997527377
3	21	2009	1468	39.9	0.625	15	0.999088949
3	23	2009	1622	45.7	0.625	15	0.880797078
3	24	2009	1586	39.4	0.625	15	0.952574127
3	25	2009	1642	42.5	0.625	15	0.98201379
3	26	2009	1604	45.2	0.625	15	0.993307149
3	27	2009	1686	52	0.6875	16.5	0.997527377
3	28	2009	1426	50.3	0.604166667	14.5	0.999088949
3	30	2009	1568	51.3	0.625	15	0.880797078
3	31	2009	1608	48.6	0.625	15	0.952574127
4	1	2009	1614	51.1	0.625	15	0.98201379
4	2	2009	1574	54.8	0.625	15	0.993307149
4	3	2009	1688	61.7	0.6875	16.5	0.997527377
4	4	2009	1430	57.2	0.625	15	0.999088949
4	6	2009	1544	58.8	0.625	15	0.880797078
4	7	2009	1450	44.5	0.625	15	0.952574127
4	8	2009	1466	45.1	0.604166667	14.5	0.98201379
4	9	2009	1394	51.25	0.625	15	0.993307149
4	10	2009	1478	57.4	0.6875	16.5	0.997527377
4	11	2009	1468	55.7	0.666666667	16	0.999088949
4	13	2009	1632	46.4	0.625	15	0.880797078
4	14	2009	1606	47.1	0.625	15	0.952574127
4	15	2009	1600	46.5	0.625	15	0.98201379
4	16	2009	1614	49.7	0.625	15	0.993307149
4	17	2009	1796	56.3	0.645833333	15.5	0.997527377
4	18	2009	1672	61.7	0.645833333	15.5	0.999088949
4	20	2009	1636	53.5	0.625	15	0.880797078
