,Date,HourOfDay,kWh,Percent
117,11/18/2013,19,141.39999999999998,0.0121875
118,11/12/2013,19,140.9,0.012291666666666666
119,11/18/2013,20,140.8,0.012395833333333333
120,11/13/2013,19,140.7,0.0125
121,10/27/2013,18,140.60000000000002,0.012604166666666666
122,11/07/2013,18,140.60000000000002,0.012708333333333334
123,11/08/2013,18,140.3,0.0128125
124,11/12/2013,20,140.3,0.012916666666666667
125,11/04/2013,19,140.1,0.013020833333333334
126,11/13/2013,20,140.0,0.013125
127,11/02/2013,19,139.89999999999998,0.013229166666666667
128,03/25/2013,20,139.8,0.013333333333333334
129,11/11/2013,20,139.8,0.0134375
130,11/06/2013,18,139.7,0.013541666666666667
131,11/08/2013,19,139.7,0.013645833333333333
132,11/17/2013,18,139.7,0.01375
133,11/17/2013,20,139.60000000000002,0.013854166666666667
134,11/09/2013,18,139.6,0.013958333333333333
135,11/04/2013,18,139.5,0.0140625
136,11/04/2013,20,139.5,0.014166666666666666
137,11/05/2013,18,139.5,0.014270833333333333
138,11/08/2013,20,139.4,0.014375
139,03/19/2013,21,139.39999999999998,0.014479166666666666
140,03/26/2013,20,139.39999999999998,0.014583333333333334
141,11/04/2013,21,139.39999999999998,0.0146875
142,11/17/2013,19,139.39999999999998,0.014791666666666667
143,01/28/2014,18,139.3,0.014895833333333334
144,01/30/2014,18,139.3,0.015
145,03/19/2013,20,139.3,0.015104166666666667
146,03/28/2013,20,139.3,0.015208333333333334
147,03/17/2013,20,139.2,0.0153125
148,03/27/2013,20,139.2,0.015416666666666667
149,11/02/2013,20,139.2,0.015520833333333333
150,11/07/2013,19,139.2,0.015625
151,11/09/2013,21,139.2,0.015729166666666666
152,11/10/2013,18,139.2,0.015833333333333335
153,11/10/2013,20,139.2,0.0159375
154,11/06/2013,19,139.10000000000002,0.016041666666666666
155,11/14/2013,19,139.1,0.016145833333333335
156,11/14/2013,20,139.1,0.01625
157,11/03/2013,19,139.0,0.016354166666666666
158,11/17/2013,21,139.0,0.016458333333333332
159,11/10/2013,19,138.9,0.0165625
160,11/11/2013,21,138.9,0.016666666666666666
161,11/05/2013,19,138.8,0.016770833333333332
162,11/03/2013,20,138.7,0.016875
163,11/07/2013,20,138.7,0.016979166666666667
164,11/10/2013,21,138.7,0.017083333333333332
165,03/17/2013,21,138.60000000000002,0.0171875
166,11/06/2013,20,138.60000000000002,0.017291666666666667
167,11/09/2013,20,138.60000000000002,0.017395833333333333
168,03/25/2013,21,138.5,0.0175
169,11/01/2013,19,138.5,0.017604166666666667
170,10/28/2013,19,138.4,0.017708333333333333
171,11/03/2013,21,138.39999999999998,0.0178125
172,11/03/2013,22,138.39999999999998,0.017916666666666668
173,03/26/2013,21,138.3,0.018020833333333333
174,10/30/2013,19,138.3,0.018125
175,03/24/2013,19,138.2,0.018229166666666668
176,11/09/2013,19,138.2,0.018333333333333333
177,11/05/2013,20,138.1,0.0184375
178,11/01/2013,20,138.0,0.018541666666666668
179,11/02/2013,21,138.0,0.018645833333333334
180,03/29/2013,20,137.9,0.01875
181,03/29/2013,21,137.9,0.01885416666666667
182,11/11/2013,19,137.7,0.018958333333333334
183,03/28/2013,21,137.60000000000002,0.0190625
184,10/19/2013,20,137.60000000000002,0.019166666666666665
185,10/28/2013,20,137.6,0.019270833333333334
186,10/28/2013,21,137.6,0.019375
187,10/30/2013,21,137.39999999999998,0.019479166666666665
188,10/16/2013,20,137.10000000000002,0.019583333333333335
189,10/14/2013,20,136.8,0.0196875
190,10/18/2013,20,136.7,0.019791666666666666
191,10/19/2013,21,136.7,0.019895833333333335
192,01/09/2014,18,136.5,0.02
193,10/09/2013,20,136.5,0.020104166666666666
194,10/10/2013,20,136.39999999999998,0.02020833333333333
195,10/21/2013,20,136.39999999999998,0.0203125
196,10/21/2013,21,136.10000000000002,0.020416666666666666
197,10/07/2013,20,136.1,0.020520833333333332
198,05/10/2013,20,136.0,0.020625
199,10/16/2013,21,136.0,0.020729166666666667
200,10/20/2013,20,136.0,0.020833333333333332
201,10/11/2013,20,135.9,0.0209375
202,10/13/2013,20,135.9,0.021041666666666667
203,09/30/2013,20,135.89999999999998,0.021145833333333332
204,10/20/2013,21,135.7,0.02125
205,10/09/2013,21,135.5,0.021354166666666667
206,10/06/2013,21,135.3,0.021458333333333333
207,01/16/2014,18,135.2,0.0215625
208,10/06/2013,20,134.9,0.021666666666666667
209,10/13/2013,21,134.9,0.021770833333333333
210,10/28/2013,18,134.6,0.021875
211,10/30/2013,18,134.5,0.021979166666666668
212,10/04/2013,20,134.2,0.022083333333333333
213,05/24/2013,21,134.10000000000002,0.0221875
214,09/29/2013,20,134.10000000000002,0.022291666666666668
215,10/05/2013,20,134.0,0.022395833333333334
216,09/26/2013,20,133.89999999999998,0.0225
217,09/28/2013,20,133.89999999999998,0.022604166666666668
218,10/02/2013,20,133.89999999999998,0.022708333333333334
