kWh,Date,Time,kWh,Datetime,HourOfDay,Month,Day,Year,FiscalYear,DayOfWeek,Percent
10.4,7,7,7,7,7,7,7,7,7,7,0.00036458333333333335
10.5,12,12,12,12,12,12,12,12,12,12,0.000625
10.6,10,10,10,10,10,10,10,10,10,10,0.0005208333333333333
10.7,15,15,15,15,15,15,15,15,15,15,0.00078125
10.8,20,20,20,20,20,20,20,20,20,20,0.0010416666666666667
10.9,19,19,19,19,19,19,19,19,19,19,0.0009895833333333334
11.0,11,11,11,11,11,11,11,11,11,11,0.0005729166666666667
11.1,6,6,6,6,6,6,6,6,6,6,0.0003125
11.2,11,11,11,11,11,11,11,11,11,11,0.0005729166666666667
11.3,12,12,12,12,12,12,12,12,12,12,0.000625
11.4,6,6,6,6,6,6,6,6,6,6,0.0003125
11.5,9,9,9,9,9,9,9,9,9,9,0.00046875
11.6,7,7,7,7,7,7,7,7,7,7,0.00036458333333333335
11.7,13,13,13,13,13,13,13,13,13,13,0.0006770833333333334
11.8,10,10,10,10,10,10,10,10,10,10,0.0005208333333333333
11.9,4,4,4,4,4,4,4,4,4,4,0.00020833333333333335
12.0,11,11,11,11,11,11,11,11,11,11,0.0005729166666666667
12.1,7,7,7,7,7,7,7,7,7,7,0.00036458333333333335
12.2,9,9,9,9,9,9,9,9,9,9,0.00046875
12.3,12,12,12,12,12,12,12,12,12,12,0.000625
12.4,12,12,12,12,12,12,12,12,12,12,0.000625
12.5,16,16,16,16,16,16,16,16,16,16,0.0008333333333333334
12.6,10,10,10,10,10,10,10,10,10,10,0.0005208333333333333
12.7,12,12,12,12,12,12,12,12,12,12,0.000625
12.8,13,13,13,13,13,13,13,13,13,13,0.0006770833333333334
12.9,9,9,9,9,9,9,9,9,9,9,0.00046875
13.0,10,10,10,10,10,10,10,10,10,10,0.0005208333333333333
13.1,9,9,9,9,9,9,9,9,9,9,0.00046875
13.2,6,6,6,6,6,6,6,6,6,6,0.0003125
13.3,4,4,4,4,4,4,4,4,4,4,0.00020833333333333335
13.4,5,5,5,5,5,5,5,5,5,5,0.00026041666666666666
13.5,4,4,4,4,4,4,4,4,4,4,0.00020833333333333335
13.6,13,13,13,13,13,13,13,13,13,13,0.0006770833333333334
13.7,9,9,9,9,9,9,9,9,9,9,0.00046875
13.8,15,15,15,15,15,15,15,15,15,15,0.00078125
13.9,7,7,7,7,7,7,7,7,7,7,0.00036458333333333335
14.0,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
14.1,3,3,3,3,3,3,3,3,3,3,0.00015625
14.3,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
14.4,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
14.5,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
14.6,3,3,3,3,3,3,3,3,3,3,0.00015625
14.7,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
14.8,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
15.0,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
15.5,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
15.8,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
16.0,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
16.3,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
16.5,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
16.9,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
17.4,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
17.8,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
18.1,4,4,4,4,4,4,4,4,4,4,0.00020833333333333335
18.2,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
18.3,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
18.6,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
18.7,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
19.0,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
19.1,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
19.2,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
19.3,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
19.4,6,6,6,6,6,6,6,6,6,6,0.0003125
19.5,6,6,6,6,6,6,6,6,6,6,0.0003125
19.6,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
19.7,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
19.8,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
20.2,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
20.4,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
20.9,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
21.0,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
21.4,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
21.6,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
21.7,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
21.8,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
22.1,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
22.2,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
22.3,4,4,4,4,4,4,4,4,4,4,0.00020833333333333335
22.5,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
22.7,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
22.8,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
23.1,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
23.3,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
23.4,4,4,4,4,4,4,4,4,4,4,0.00020833333333333335
23.5,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
23.6,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
24.1,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
24.3,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
24.5,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
24.6,3,3,3,3,3,3,3,3,3,3,0.00015625
24.8,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
25.1,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
25.3,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
25.4,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
25.5,4,4,4,4,4,4,4,4,4,4,0.00020833333333333335
25.6,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
25.7,4,4,4,4,4,4,4,4,4,4,0.00020833333333333335
25.8,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
25.9,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
26.1,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
26.2,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
26.4,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
26.5,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
26.6,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
26.7,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
26.8,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
26.9,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
27.0,4,4,4,4,4,4,4,4,4,4,0.00020833333333333335
27.1,3,3,3,3,3,3,3,3,3,3,0.00015625
27.2,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
27.3,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
27.4,3,3,3,3,3,3,3,3,3,3,0.00015625
27.5,5,5,5,5,5,5,5,5,5,5,0.00026041666666666666
27.6,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
27.7,5,5,5,5,5,5,5,5,5,5,0.00026041666666666666
27.8,6,6,6,6,6,6,6,6,6,6,0.0003125
27.9,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
28.0,3,3,3,3,3,3,3,3,3,3,0.00015625
28.1,3,3,3,3,3,3,3,3,3,3,0.00015625
28.2,3,3,3,3,3,3,3,3,3,3,0.00015625
28.3,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
28.4,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
28.5,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
28.6,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
28.8,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
28.9,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
29.0,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
29.1,3,3,3,3,3,3,3,3,3,3,0.00015625
29.2,3,3,3,3,3,3,3,3,3,3,0.00015625
29.3,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
29.4,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
29.5,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
29.6,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
29.9,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
30.0,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
30.2,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
30.3,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
30.6,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
30.7,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
30.8,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
30.9,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
31.0,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
31.2,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
31.3,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
31.4,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
31.5,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
31.8,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
32.5,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
32.8,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
33.0,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
33.2,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
33.3,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
33.4,3,3,3,3,3,3,3,3,3,3,0.00015625
33.5,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
33.6,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
33.9,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
34.1,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
34.2,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
34.3,5,5,5,5,5,5,5,5,5,5,0.00026041666666666666
34.4,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
34.5,11,11,11,11,11,11,11,11,11,11,0.0005729166666666667
34.6,5,5,5,5,5,5,5,5,5,5,0.00026041666666666666
34.7,11,11,11,11,11,11,11,11,11,11,0.0005729166666666667
34.8,7,7,7,7,7,7,7,7,7,7,0.00036458333333333335
34.9,4,4,4,4,4,4,4,4,4,4,0.00020833333333333335
35.0,11,11,11,11,11,11,11,11,11,11,0.0005729166666666667
35.1,5,5,5,5,5,5,5,5,5,5,0.00026041666666666666
35.2,6,6,6,6,6,6,6,6,6,6,0.0003125
35.3,6,6,6,6,6,6,6,6,6,6,0.0003125
35.4,5,5,5,5,5,5,5,5,5,5,0.00026041666666666666
35.5,6,6,6,6,6,6,6,6,6,6,0.0003125
35.6,8,8,8,8,8,8,8,8,8,8,0.0004166666666666667
35.7,4,4,4,4,4,4,4,4,4,4,0.00020833333333333335
35.8,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
35.9,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
36.0,4,4,4,4,4,4,4,4,4,4,0.00020833333333333335
36.1,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
36.2,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
36.3,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
36.4,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
36.6,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
36.7,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
36.8,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
36.9,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
37.1,5,5,5,5,5,5,5,5,5,5,0.00026041666666666666
37.2,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
37.3,7,7,7,7,7,7,7,7,7,7,0.00036458333333333335
37.4,5,5,5,5,5,5,5,5,5,5,0.00026041666666666666
37.5,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
37.6,3,3,3,3,3,3,3,3,3,3,0.00015625
37.7,7,7,7,7,7,7,7,7,7,7,0.00036458333333333335
37.8,7,7,7,7,7,7,7,7,7,7,0.00036458333333333335
37.9,5,5,5,5,5,5,5,5,5,5,0.00026041666666666666
38.0,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
38.1,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
38.2,3,3,3,3,3,3,3,3,3,3,0.00015625
38.3,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
38.4,3,3,3,3,3,3,3,3,3,3,0.00015625
38.6,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
39.0,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
39.1,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
39.2,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
39.5,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
39.6,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
39.7,4,4,4,4,4,4,4,4,4,4,0.00020833333333333335
39.8,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
39.9,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
40.0,3,3,3,3,3,3,3,3,3,3,0.00015625
40.2,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
40.3,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
40.5,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
40.6,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
40.7,5,5,5,5,5,5,5,5,5,5,0.00026041666666666666
40.8,3,3,3,3,3,3,3,3,3,3,0.00015625
40.9,3,3,3,3,3,3,3,3,3,3,0.00015625
41.0,4,4,4,4,4,4,4,4,4,4,0.00020833333333333335
41.1,4,4,4,4,4,4,4,4,4,4,0.00020833333333333335
41.2,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
41.3,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
41.4,6,6,6,6,6,6,6,6,6,6,0.0003125
41.5,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
41.6,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
41.7,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
41.8,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
41.9,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
42.0,4,4,4,4,4,4,4,4,4,4,0.00020833333333333335
42.1,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
42.2,4,4,4,4,4,4,4,4,4,4,0.00020833333333333335
42.3,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
42.4,3,3,3,3,3,3,3,3,3,3,0.00015625
42.5,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
42.6,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
42.7,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
42.8,7,7,7,7,7,7,7,7,7,7,0.00036458333333333335
42.9,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
43.0,6,6,6,6,6,6,6,6,6,6,0.0003125
43.1,3,3,3,3,3,3,3,3,3,3,0.00015625
43.2,10,10,10,10,10,10,10,10,10,10,0.0005208333333333333
43.3,3,3,3,3,3,3,3,3,3,3,0.00015625
43.4,5,5,5,5,5,5,5,5,5,5,0.00026041666666666666
43.5,9,9,9,9,9,9,9,9,9,9,0.00046875
43.6,3,3,3,3,3,3,3,3,3,3,0.00015625
43.7,4,4,4,4,4,4,4,4,4,4,0.00020833333333333335
43.8,3,3,3,3,3,3,3,3,3,3,0.00015625
43.9,3,3,3,3,3,3,3,3,3,3,0.00015625
44.0,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
44.1,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
44.2,3,3,3,3,3,3,3,3,3,3,0.00015625
44.3,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
44.4,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
44.5,3,3,3,3,3,3,3,3,3,3,0.00015625
44.6,5,5,5,5,5,5,5,5,5,5,0.00026041666666666666
44.7,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
44.8,4,4,4,4,4,4,4,4,4,4,0.00020833333333333335
44.9,3,3,3,3,3,3,3,3,3,3,0.00015625
45.0,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
45.1,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
45.2,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
45.4,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
45.5,3,3,3,3,3,3,3,3,3,3,0.00015625
45.6,3,3,3,3,3,3,3,3,3,3,0.00015625
45.7,3,3,3,3,3,3,3,3,3,3,0.00015625
45.8,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
46.0,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
46.2,3,3,3,3,3,3,3,3,3,3,0.00015625
46.4,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
46.5,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
47.1,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
47.7,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
48.0,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
48.1,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
48.5,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
48.7,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
49.2,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
49.5,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
49.8,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
49.9,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
50.1,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
50.4,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
51.0,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
51.3,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
51.6,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
51.8,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
52.0,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
52.2,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
52.3,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
52.5,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
52.8,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
52.9,2,2,2,2,2,2,2,2,2,2,0.00010416666666666667
53.0,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
53.1,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
53.4,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
53.8,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
53.9,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
54.4,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
55.3,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
55.5,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
55.9,1,1,1,1,1,1,1,1,1,1,5.208333333333334e-05
