Date_Time,use_kwh
2014-10-23 00:00:00-04:00,6423.0
2014-10-24 00:00:00-04:00,6466.5999999999985
2014-10-25 00:00:00-04:00,5160.6
2014-10-26 00:00:00-04:00,5104.0
2014-10-27 00:00:00-04:00,6855.9
2014-10-28 00:00:00-04:00,6813.200000000001
2014-10-29 00:00:00-04:00,6735.2
2014-10-30 00:00:00-04:00,6137.900000000001
2014-10-31 00:00:00-04:00,5879.300000000001
2014-11-01 00:00:00-04:00,5081.199999999999
2014-11-02 00:00:00-04:00,5079.999999999999
2014-11-03 00:00:00-05:00,6291.299999999999
2014-11-04 00:00:00-05:00,6228.85
2014-11-05 00:00:00-05:00,6350.199999999998
2014-11-06 00:00:00-05:00,6659.7
2014-11-07 00:00:00-05:00,6254.000000000001
2014-11-08 00:00:00-05:00,5037.399999999999
2014-11-09 00:00:00-05:00,4956.200000000001
2014-11-10 00:00:00-05:00,6348.5
2014-11-11 00:00:00-05:00,5807.499999999999
2014-11-12 00:00:00-05:00,6971.800000000002
2014-11-13 00:00:00-05:00,6444.500000000001
2014-11-14 00:00:00-05:00,6400.300000000001
2014-11-15 00:00:00-05:00,5084.7
2014-11-16 00:00:00-05:00,4952.999999999999
2014-11-17 00:00:00-05:00,6180.399999999998
2014-11-18 00:00:00-05:00,6298.500000000001
2014-11-19 00:00:00-05:00,6315.9
2014-11-20 00:00:00-05:00,6245.099999999999
2014-11-21 00:00:00-05:00,6208.700000000002
2014-11-22 00:00:00-05:00,5191.400000000001
2014-11-23 00:00:00-05:00,5011.200000000001
2014-11-24 00:00:00-05:00,7128.199999999998
2014-11-25 00:00:00-05:00,6519.9000000000015
2014-11-26 00:00:00-05:00,5950.2
2014-11-27 00:00:00-05:00,4953.299999999999
2014-11-28 00:00:00-05:00,4907.399999999999
2014-11-29 00:00:00-05:00,4850.299999999999
2014-11-30 00:00:00-05:00,4831.0999999999985
2014-12-01 00:00:00-05:00,6467.299999999999
2014-12-02 00:00:00-05:00,6298.7
