Cost Center Code,Commodity Name,Place Code,Place Name,Account Code,Billing Period (YYYYMM),Billing Year,Billing Month,Begin Date,End Date,Use,Demand,Cost,Place Size,GL Code,GL SubCode 1,GL SubCode 2,GL SubCode 3,Rate Name
300,Electric,302,1000 Franklin St T&ES Maintenance,5781917504,200906,2009,6,6/3/2009,7/2/2009,0,,5.5,0,,,,,SCHEDULE100NONRESSERVICE_test
300,Electric,302,1000 Franklin St T&ES Maintenance,5781917504,200907,2009,7,7/2/2009,7/31/2009,0,,5.5,0,,,,,SCHEDULE100NONRESSERVICE_test
300,Electric,302,1000 Franklin St T&ES Maintenance,5781917504,200908,2009,8,7/31/2009,9/1/2009,0,,5.5,0,,,,,SCHEDULE100NONRESSERVICE_test
300,Electric,302,1000 Franklin St T&ES Maintenance,5781917504,200909,2009,9,9/1/2009,9/30/2009,0,,5.5,0,,,,,SCHEDULE100NONRESSERVICE_test
300,Electric,302,1000 Franklin St T&ES Maintenance,5781917504,200910,2009,10,9/30/2009,10/30/2009,0,,5.5,0,,,,,SCHEDULE100NONRESSERVICE_test
300,Electric,302,1000 Franklin St T&ES Maintenance,5781917504,200911,2009,11,10/30/2009,12/2/2009,0,,5.5,0,,,,,SCHEDULE100NONRESSERVICE_test
300,Electric,302,1000 Franklin St T&ES Maintenance,5781917504,200912,2009,12,12/2/2009,1/5/2010,0,,5.5,0,,,,,SCHEDULE100NONRESSERVICE_test
300,Electric,302,1000 Franklin St T&ES Maintenance,5781917504,201001,2010,1,1/5/2010,2/3/2010,0,,5.5,0,,,,,SCHEDULE100NONRESSERVICE_test
300,Electric,302,1000 Franklin St T&ES Maintenance,5781917504,201002,2010,2,2/3/2010,3/3/2010,0,,5.5,0,,,,,SCHEDULE100NONRESSERVICE_test
300,Electric,302,1000 Franklin St T&ES Maintenance,5781917504,201003,2010,3,3/3/2010,4/3/2010,0,,5.5,0,,,,,SCHEDULE100NONRESSERVICE_test
300,Electric,302,1000 Franklin St T&ES Maintenance,5781917504,201004,2010,4,4/3/2010,5/3/2010,0,,5.5,0,,,,,SCHEDULE100NONRESSERVICE_test
300,Electric,302,1000 Franklin St T&ES Maintenance,5781917504,201005,2010,5,5/3/2010,6/2/2010,0,,4.66,0,,,,,SCHEDULE100NONRESSERVICE_test
300,Electric,302,1000 Franklin St T&ES Maintenance,5781917504,201006,2010,6,6/2/2010,7/1/2010,0,,5.5,0,,,,,SCHEDULE100NONRESSERVICE_test
300,Natural Gas,303,Roth St Building,3100251614,200507,2005,7,7/1/2005,7/29/2005,0,,17.2,59898,,141135,110148,0,Commercial Heat/Cool
300,Natural Gas,303,Roth St Building,3100251614,200508,2005,8,8/1/2005,8/29/2005,0,,21.02,59898,,141135,110148,0,Commercial Heat/Cool
300,Natural Gas,303,Roth St Building,3100251614,200509,2005,9,9/1/2005,9/29/2005,0,,16.35,59898,,141135,110148,0,Commercial Heat/Cool
300,Natural Gas,303,Roth St Building,3100251614,200510,2005,10,10/1/2005,10/29/2005,0,,16.76,59898,,141135,110148,0,Commercial Heat/Cool
300,Natural Gas,303,Roth St Building,3100251614,200511,2005,11,11/1/2005,11/29/2005,0,,16.76,59898,,141135,110148,0,Commercial Heat/Cool
300,Natural Gas,303,Roth St Building,3100251614,200512,2005,12,12/1/2005,12/29/2005,0,,16.35,59898,,141135,110148,0,Commercial Heat/Cool
300,Natural Gas,303,Roth St Building,3100251614,200601,2006,1,1/1/2006,1/29/2006,0,,16.35,59898,,141135,110148,0,Commercial Heat/Cool
300,Natural Gas,303,Roth St Building,3100251614,200602,2006,2,2/1/2006,2/28/2006,23,,54.64,59898,,141135,110148,0,Commercial Heat/Cool
300,Natural Gas,303,Roth St Building,3100251614,200603,2006,3,3/1/2006,3/29/2006,0,,16.35,59898,,141135,110148,0,Commercial Heat/Cool
300,Natural Gas,303,Roth St Building,3100251614,200604,2006,4,4/1/2006,4/29/2006,0,,16.51,59898,,141135,110148,0,Commercial Heat/Cool
300,Natural Gas,303,Roth St Building,3100251614,200605,2006,5,5/1/2006,5/29/2006,0,,16.76,59898,,141135,110148,0,Commercial Heat/Cool
